locID,Black African,Coloured,Indian or Asian,Other,White
101,16.364360358,66.5831133891,0.55670987273,0.790778168601,15.7050382116
102,23.6793148857,62.1201058047,0.400386545082,0.912266711027,12.8879260536
103,25.6224436044,54.1587909023,0.316063460585,1.04269955379,18.8600024789
104,24.6976139977,54.1870840342,0.439865846141,1.46587121647,19.2095649055
105,12.7372838394,76.150509773,0.422463808934,0.5548358024,10.1349067763
199,38.6344640385,42.387031534,1.38464278056,1.93004005855,15.6638215884
210,53.2663093534,34.870224264,0.336895369353,0.659143113952,10.8674278993
212,97.2419888958,1.47126040178,0.126143243158,0.158071151063,1.00253630819
213,93.3477568353,4.11924657526,0.2246496057,0.292660482412,2.01568650129
214,93.777017909,3.48145056152,0.180691201025,0.194414583381,2.36642574507
215,99.0362967538,0.471374995146,0.19444035392,0.104399963955,0.193487933196
244,99.1313332743,0.41268220974,0.141262854982,0.0778692769513,0.23685238406
260,85.1103019068,6.01721398305,0.826403601695,0.331832627119,7.71424788136
299,60.1269492429,23.562685637,1.11429945301,0.837590724529,14.3584749426
306,6.82308661798,83.1822654996,0.528305795825,0.736347784051,8.72999430258
307,31.4533785524,59.1659869494,0.561303339916,0.735704473255,8.08362668498
308,29.3567132914,60.3571187242,0.720910196635,1.38438408001,8.18087370768
309,65.4927568473,23.9603753092,0.942722169151,2.91662849889,6.6875171755
345,84.8401001793,9.26079974377,0.382122537222,0.558726317522,4.95825122221
416,78.495535287,13.1541522515,0.378098975783,0.353484937576,7.61872854818
418,88.8984841291,1.89029772508,0.357378438752,0.216848887713,8.63699081937
419,93.7658746221,0.840489080977,0.391313678457,0.17820324406,4.82411937444
420,86.0704662575,1.88818424908,0.310633458666,0.283381314865,11.4473347198
499,83.2695148187,4.99537081634,0.428667758405,0.296615611855,11.0098309947
521,90.6280277487,0.84749281645,3.42028335576,0.159726720592,4.94446935849
522,84.748905197,2.01795506419,6.6841691042,0.267056279311,6.28191435531
523,95.1479187318,0.586531747918,2.39561514068,0.159976795889,1.70995758372
527,98.7671088415,0.184230625425,0.222099366298,0.157227177293,0.669333989512
528,94.4330580771,0.553708025626,1.6123096181,0.164073880628,3.23685039856
543,96.7467746235,1.6353899601,0.326384479183,0.13068382533,1.16076711189
554,96.5973557175,0.545965648601,1.2747681261,0.135267932299,1.44664257553
555,93.0581786172,0.690020806658,2.63424295775,0.210467349552,3.40709026889
556,98.0467286812,0.211679059204,0.220887907165,0.115981706748,1.40472264568
559,90.7629913202,0.530974326353,5.91800714887,0.363376284795,2.42465091981
599,73.7993778108,2.49561274951,16.6552549253,0.414599166096,6.63515534832
637,91.3973808396,0.725104908372,0.568886624664,0.325305504588,6.98332212276
638,93.8948545091,1.63866338989,0.589534341443,0.204224758781,3.67272300074
639,91.4116434605,3.95546490619,0.43185414843,0.292789782111,3.90824770274
640,80.3254048881,4.06964463533,0.733547625993,0.353625995606,14.517776855
742,81.68804004,1.20787837854,0.997290729888,0.462201699322,15.6445891522
748,79.1883984536,2.50306335978,1.1489730741,0.467482100965,16.6920830116
797,78.7413126441,2.70287276583,2.14121888833,0.607021617319,15.8075740844
798,76.4241310879,5.57577556013,4.87500414334,0.846594466932,12.2784947417
799,75.401541954,2.01226224445,1.83961049985,0.671370205868,20.0752150959
830,88.5717435379,1.03211767694,1.05464462541,0.303970015194,9.03752414458
831,87.9301659087,1.13681448848,0.729973878723,0.291485014093,9.91156070999
832,94.0417407412,0.649882092651,0.436215736693,0.154742291607,4.71741913783
933,97.0000192218,0.163019550447,0.249883982437,0.123752067492,2.46332517778
934,98.2225527951,0.141574793662,0.406805476388,0.101488968288,1.12757796654
935,96.0690056458,0.497121593833,0.414915391823,0.207140603522,2.81181676499
936,91.2492492669,0.485474051132,0.431156305569,0.273502361129,7.56061801524
947,98.5801047509,0.114408825824,0.159819471788,0.122766613424,1.02290033803
